"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Archived_Date__c","nFORCE__Context_Id__c","nFORCE__Context_Owner_Id__c","nFORCE__Is_Archived__c","nFORCE__Label__c","nFORCE__Question__c","nFORCE__Answer__c","nFORCE__Currency_Answer__c","nFORCE__Number_Answer__c","AutorabitExtId__c"
"a1K8c00000iVnPvEAK","0058c00000BxeO9AAJ","false","A-000653","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000BgpeAAC","","","",""
"a1K8c00000iVnPwEAK","0058c00000BxeO9AAJ","false","A-000654","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000GIOeAAO","","","",""
"a1K8c00000iVnPxEAK","0058c00000BxeO9AAJ","false","A-000655","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000dYTPAA2","","","",""
"a1K8c00000iVnPyEAK","0058c00000BxeO9AAJ","false","A-000656","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000dYS8AAM","","","",""
"a1K8c00000iVnPzEAK","0058c00000BxeO9AAJ","false","A-000657","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000BgzDAAS","","","",""
"a1K8c00000iVnQ0EAK","0058c00000BxeO9AAJ","false","A-000658","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000lZIOAA2","","","",""
"a1K8c00000iVnQ1EAK","0058c00000BxeO9AAJ","false","A-000659","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000dYTRAA2","","","",""
"a1K8c00000iVnQ2EAK","0058c00000BxeO9AAJ","false","A-000660","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000BgpjAAC","","","",""
"a1K8c00000iVnQ3EAK","0058c00000BxeO9AAJ","false","A-000661","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000GIOjAAO","","","",""
"a1K8c00000iVnQ4EAK","0058c00000BxeO9AAJ","false","A-000662","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","0058c00000BxeO9AAJ","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","2024-12-20T09:16:51.000Z","","a0i8c00000VXx5TAAT","","false","","a308c000000dYTlAAM","","","",""
