"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__App__c","nFORCE__Body__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c","nPortal__Portal_Header_Text__c","nFORCE__Taxonomy_Id__c","nPortal__Portal_Icon_Path__c","nFORCE__Parameters__c","nPortal__Portal_Subheader_Text__c","nPortal__Search_Object_Filter__c","nPortal__Search_Object_Type__c","nPortal__Search_Results_Fieldset__c","nPortal__Search_Select_Active_Text__c","nFORCE__Body_Type__c","nFORCE__Description__c","nPortal__Search_Select_Text__c"
"a2EHo00000CwAk1MAF","005Ho00000AXM6UIAX","","Reserve Loan Number","2023-11-03T19:40:22.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:22.000Z","005Ho00000AXM6UIAX","","","","","","action-atbk-reserve-loan-id","atbk__automatedbooking","","n-icon-entity","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","4A096E432057477DA0442C2843474C7A","","action-atbk-reserve-loan-id","","","","","","","","","",""
"a2EHo00000CwAk2MAF","005Ho00000AXM6UIAX","","Automated Booking","2023-11-03T19:40:22.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:22.000Z","005Ho00000AXM6UIAX","","","","","","atbk-booking-deposit","atbk__reviewsubmit","","n-icon-entity","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__nctopbar","481F115F220C4211BB2D1D6D55220642","","atbk-booking-deposit","","","","","","","","","",""
"a2EHo00000CwAk3MAF","005Ho00000AXM6UIAX","","Automated Booking","2023-11-03T19:40:22.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:22.000Z","005Ho00000AXM6UIAX","","","","","","atbk-booking-loan","atbk__reviewsubmit","","n-icon-entity","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","703A343002334B539C55601D2D646138","","atbk-booking-loan","","","","","","","","","",""
"a2EHo00000CwAk4MAF","005Ho00000AXM6UIAX","","Core-Specific Information","2023-11-03T19:40:22.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:22.000Z","005Ho00000AXM6UIAX","","","","","","atbk-booking-core-specific-deposit","atbk__corespecific","","n-icon-entity","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","150F1F5A197E4001B8412E1700267564","","atbk-booking-core-specific-deposit","","","","","","","","","",""
"a2EHo00000CwAn0MAF","005Ho00000AXM6UIAX","","Core-Specific Information","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","atbk-booking-core-specific-loan","atbk__corespecific","","n-icon-entity","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","78103E7B60774C4C8A2B583359032F60","","atbk-booking-core-specific-loan","","","","","","","","","",""
"a2EHo00000CwAn1MAF","005Ho00000AXM6UIAX","","Automated Booking Summary","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","atbk-booking-summary-deposit","atbk__summary","","n-icon-entity","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__nctopbar","02306B4D724A4B62B46F517142067F34","","atbk-booking-summary-deposit","","","","","","","","","",""
"a2EHo00000CwAn2MAF","005Ho00000AXM6UIAX","","Automated Booking Summary","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","atbk-booking-summary-loan","atbk__summary","","n-icon-entity","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__nctopbar","59142C2375114E44BF3D7924727C0D4E","","atbk-booking-summary-loan","","","","","","","","","",""
"a2EHo00000CwAn3MAF","005Ho00000AXM6UIAX","","Unable to Process Application","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","dep-unable-to-process","csChexSystemsDecline","","","false","ApplicationNavigation","","","","","","LoanTopbar","42170872155074059","Unable to Process","dep-unable-to-process","","","We are unable to process your application at this time. You will receive an email from us shortly with additional details.","","","","","","",""
"a2EHo00000CwAn4MAF","005Ho00000AXM6UIAX","","Needs Review","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","dep-booking-needs-review","cm_BookingNeedsReview","","","false","NPORTAL__ApplicationNavigation","","","","","","NPORTAL__LoanTopbar","42532494244522441","","dep-booking-needs-review","","","","","","","","Visualforce Page","",""
"a2EHo00000CwAn5MAF","005Ho00000AXM6UIAX","","Processing","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","dep-booking-in-process","cm_BookingRefresh","","","false","NPORTAL__ApplicationNavigation","","","","","","NPORTAL__LoanTopbar","42937905309170157","","dep-booking-in-process","","","","","","","","Visualforce Page","",""
"a2EHo00000CwAn6MAF","005Ho00000AXM6UIAX","","Pending","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","dep-pending-co-owners","cm_PortalPendingCoOwners","","","false","NPORTAL__ApplicationNavigation","","","","","","NPORTAL__LoanTopbar","42036446049576016","","dep-pending-co-owners","","","","","","","","Visualforce Page","",""
"a2EHo00000CwAn7MAF","005Ho00000AXM6UIAX","","Account","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","account-parent-route","NPORTAL__PortalForm","","","false","NPORTAL__ApplicationNavigation","","","","","","NPORTAL__LoanTopbar","42119451604001708","","account-parent-route","","","","","","","","Visualforce Page","",""
"a2EHo00000CwAn8MAF","005Ho00000AXM6UIAX","","Additional Info","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","dep-clone-indiv1-additional-info--kyc-","nPORTAL__PortalQuestionnaire","","","false","nPORTAL_ApplicationNavigation","","","","","","nPORTAL__LoanTopbar","56091598381727558","Tell us more about yourself!","dep-clone-indiv1-additional-info--kyc-","utility-sprite/svg/symbols.svg#identity","","Please provide more information.","","","","","Visualforce Page","",""
"a2EHo00000CwAn9MAF","005Ho00000AXM6UIAX","","Additional Business Info","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","dep-add-info-business-kyc","nPORTAL__PortalQuestionnaire","","","false","nPORTAL_ApplicationNavigation","","","","","","nPORTAL__LoanTopbar","42961366432922801","Help us learn more about your business","dep-add-info-business-kyc","utility-sprite/svg/symbols.svg#identity","","","","","","","Visualforce Page","",""
"a2EHo00000CwAnAMAV","005Ho00000AXM6UIAX","","Additional Business Info","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","odao-bus-kyc","llc_bi__questionnaire_relationship_app","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__nctopbar","42741039945234182","","odao-bus-kyc","","","","","","","","Visualforce Page","",""
"a2EHo00000CwAnBMAV","005Ho00000AXM6UIAX","","Pending","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","dep-business-pending-info","cm_Portal_PendingBusinessInformation","","","false","NPORTAL__ApplicationNavigation","","","","","","NPORTAL__LoanTopbar","42241627079830134","","dep-business-pending-info","","","","","","","","Visualforce Page","",""
"a2EHo00000CwAnCMAV","005Ho00000AXM6UIAX","","Ancillary Services- Read only","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","pc-ancillary-services-read-only","llc_bi__ancillary_services_maintenance","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__nctopbar","42654517211112094","","pc-ancillary-services-read-only","","isReadOnly=true","","","","","","Visualforce Page","",""
"a2EHo00000CwAnDMAV","005Ho00000AXM6UIAX","","Account Structure & Roles - Read Only","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","pc-account-structure-and-roles-read-only","llc_bi__multitierinvolvement","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__nctopbar","a2E4S0000009GbfUAE","","pc-account-structure-and-roles-read-only","","isReadOnly=true","","","","","","Visualforce Page","",""
"a2EHo00000CwAnEMAV","005Ho00000AXM6UIAX","","Ownership & Roles","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","Deposit-wall-parent","nforce__blank","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__nctopbar","42558122547199638","","Deposit-wall-parent","","","","","","","","Visualforce Page","",""
"a2EHo00000CwAnFMAV","005Ho00000AXM6UIAX","","Reserve Deposit Account Number","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","atbk-reserve-deposit-tax-favored-account","atbk__automatedbooking","","n-icon-entity","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","42752370585736156","","atbk-reserve-deposit-tax-favored-account","","","","","","","","Visualforce Page","",""
"a2EHo00000CwAnGMAV","005Ho00000AXM6UIAX","","Application","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","retail-application","nFORCE__Blank","","n-icon-loan","false","nFORCE__navigation","","","","nFORCE__sub_navigation","","nforce__topbar","42757680812440678","","retail-application","","","","","","","","Visualforce Page","This productized route is the retail template for the Application route. Users clone this route to reduce configuration and implementation time.",""
"a2EHo00000CwAnHMAV","005Ho00000AXM6UIAX","","Income Details","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","retail-income-details","llc_bi__income","","fa fa-money fa-lg","false","nFORCE__navigation","","","","nFORCE__sub_navigation","","nforce__topbar","42477948751066086","","retail-income-details","","incomeFieldSet=LLC_BI__Income_Schedule;tabs=true;","","","","","","Visualforce Page","This productized route is the retail template for the Income Details route. Users clone this route to reduce configuration and implementation time.",""
"a2EHo00000CwAnIMAV","005Ho00000AXM6UIAX","","Run Automated Underwriting","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","retail-run-automated-underwriting","nretail__automatedunderwriting","","n-icon-analyze","false","nFORCE__navigation","","","","nFORCE__sub_navigation","","nforce__topbar","42233777553532971","","retail-run-automated-underwriting","","","","","","","","Visualforce Page","This productized route is the retail template for the Run Automated Underwriting route. Users clone this route to reduce configuration and implementation time.",""
"a2EHo00000CwAnJMAV","005Ho00000AXM6UIAX","","Collateral","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","retail-collateral","nFORCE__Blank","","n-icon-loan","false","nFORCE__navigation","","","","nFORCE__sub_navigation","","nforce__topbar","42142243130259596","","retail-collateral","","","","","","","","Visualforce Page","This productized route is the retail template for the Collateral route. Users clone this route to reduce configuration and implementation time.",""
"a2EHo00000CwAnKMAV","005Ho00000AXM6UIAX","","NADA","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","retail-vehicle-valuation","LLC_BI__Vehicle_Valuation","","n-icon-loan","false","nFORCE__navigation","","","","nFORCE__sub_navigation","","nforce__topbar","42785346164602124","","retail-vehicle-valuation","","","","","","","","Visualforce Page","This productized route is the retail template for the NADA route. After an org runs the NADA plug-in, the NADA route’s functionality activates.",""
"a2EHo00000CwAnLMAV","005Ho00000AXM6UIAX","","Fees","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","retail-fees","nFORCE__Blank","","n-icon-fees","false","nFORCE__navigation","","","","nFORCE__sub_navigation","","nforce__topbar","42423578939826592","","retail-fees","","","","","","","","Visualforce Page","This productized route is the retail template for the Fees route. This route includes the Manage Fees and Third Party route as a subroute. Users clone this route to reduce configuration and implementation time.",""
"a2EHo00000CwAnMMAV","005Ho00000AXM6UIAX","","Underwriting","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","retail-underwriting","nFORCE__Blank","","n-icon-loan","false","nFORCE__navigation","","","","nFORCE__sub_navigation","","nforce__topbar","42569161206803552","","retail-underwriting","","","","","","","","Visualforce Page","This productized route is the retail template for the Underwriting route. Users clone this route to reduce configuration and implementation time.",""
"a2EHo00000CwAnNMAV","005Ho00000AXM6UIAX","","Decisioning","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","retail-decision","LLC_BI__LoanAutoDecision","","n-icon-loan","false","nFORCE__navigation","","","","nFORCE__sub_navigation","","nforce__topbar","42426528086984422","","retail-decision","","","","","","","","Visualforce Page","This productized route is the retail template for the Decisioning route. This route includes the Auto-Decision route as a subroute. Users clone this route to reduce configuration and implementation time.",""
"a2EHo00000CwAnOMAV","005Ho00000AXM6UIAX","","Loan Auto Decision Detail","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","retail-decision-detail","nRETAIL__AutoDecisionDetails","","n-icon-loan","false","nFORCE__navigation","","","","nFORCE__sub_navigation","","nforce__topbar","42755023540675983","","retail-decision-detail","","","","","","","","Visualforce Page","This productized route is the retail template for the Loan Auto Decision Detail route. Users clone this route to reduce configuration and implementation time.",""
"a2EHo00000CwAnPMAV","005Ho00000AXM6UIAX","","Offers","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","retail-offers","llc_bi__offers","","","false","nFORCE__navigation","","","","nretail__blank","","nforce__topbar","42771014578917987","","retail-offers","","","","","","","","Visualforce Page","This productized route is the retail template for the Offers route. Users clone this route to reduce configuration and implementation time.",""
"a2EHo00000CwAnQMAV","005Ho00000AXM6UIAX","","Compliance","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","2023-11-03T19:40:25.000Z","005Ho00000AXM6UIAX","","","","","","retail-compliance","nFORCE__Blank","","n-icon-loan","false","nFORCE__navigation","","","","nFORCE__sub_navigation","","nforce__topbar","42082630231942595","","retail-compliance","","","","","","","","Visualforce Page","This productized route is the retail template for the Compliance route. This route includes the Questionnaires route as a subroute. Users clone this route to reduce configuration and implementation time.",""
